"buyer_id","buyer_nickname","total_orders","total_spent","first_purchase","last_purchase","unique_products","is_repeat_buyer"
"143792129","WAZCURRA2013","1","26950","2025-12-07T19:22:59.000-04:00","2025-12-07T19:22:59.000-04:00","1","NO"
"50116728","ANIBAVIL","1","3958","2025-12-07T19:20:47.000-04:00","2025-12-07T19:20:47.000-04:00","1","NO"
"1806678750","MOSO20240509143807","1","14900","2025-12-07T19:19:53.000-04:00","2025-12-07T19:19:53.000-04:00","1","NO"
"455698867","AVELLINOJULIETA","1","46000","2025-12-07T19:17:08.000-04:00","2025-12-07T19:17:08.000-04:00","1","NO"
"636241472","TORA4207137","1","280000","2025-12-07T19:11:08.000-04:00","2025-12-07T19:11:08.000-04:00","1","NO"
"494231259","RARO8340472","1","183000","2025-12-07T19:05:32.000-04:00","2025-12-07T19:05:32.000-04:00","1","NO"
"2609655570","S20250805161731","1","14500","2025-12-07T19:03:37.000-04:00","2025-12-07T19:03:37.000-04:00","1","NO"
"180456564","BETTYRIBERO","1","65900","2025-12-07T18:54:50.000-04:00","2025-12-07T18:54:50.000-04:00","1","NO"
"127112140","MARIAANDREAPALACIOS","1","14900","2025-12-07T18:46:55.000-04:00","2025-12-07T18:46:55.000-04:00","1","NO"
"502149813","LARIXFAK","1","29000","2025-12-07T18:41:42.000-04:00","2025-12-07T18:41:42.000-04:00","1","NO"
"5716312","DANILO-TAE","1","3958","2025-12-07T18:28:09.000-04:00","2025-12-07T18:28:09.000-04:00","1","NO"
"610617089","PRISCILADUBOIS20220530180330","1","23000","2025-12-07T18:25:33.000-04:00","2025-12-07T18:25:33.000-04:00","1","NO"
"226235703","ALBORNOZA1709","1","65900","2025-12-07T18:06:25.000-04:00","2025-12-07T18:06:25.000-04:00","1","NO"
"258219364","CARLOSNICOLASROLDAN5","1","3958","2025-12-07T18:00:37.000-04:00","2025-12-07T18:00:37.000-04:00","1","NO"
"74207270","G.IDEASGRAFICAS","1","280000","2025-12-07T17:57:24.000-04:00","2025-12-07T17:57:24.000-04:00","1","NO"
"126582019","DAVIDSALASRC","1","19800","2025-12-07T17:44:51.000-04:00","2025-12-07T17:44:51.000-04:00","1","NO"
"85251769","CURUCHA22","1","29000","2025-12-07T17:43:25.000-04:00","2025-12-07T17:43:25.000-04:00","1","NO"
"58894438","AHEFFNER","1","130000","2025-12-07T17:36:39.000-04:00","2025-12-07T17:36:39.000-04:00","1","NO"
"81429022","CAMIGENO","2","66500","2025-11-25T15:52:18.000-04:00","2025-12-07T17:24:34.000-04:00","1","YES"
"291540682","F23M","1","42500","2025-12-07T17:23:48.000-04:00","2025-12-07T17:23:48.000-04:00","1","NO"
"179507498","ROCIOBELLVER","1","58000","2025-12-07T17:07:33.000-04:00","2025-12-07T17:07:33.000-04:00","1","NO"
"107689363","CAROLINAMONAYAR","2","54900","2025-12-07T17:03:32.000-04:00","2025-12-07T17:03:32.000-04:00","2","YES"
"153142144","PJ20240819103929","1","3958","2025-12-07T16:58:31.000-04:00","2025-12-07T16:58:31.000-04:00","1","NO"
"99308973","CARLONMARIA","2","80600","2025-12-04T16:53:42.000-04:00","2025-12-07T16:43:42.000-04:00","1","YES"
"173993540","DIDE4741454","1","25500","2025-12-07T16:39:53.000-04:00","2025-12-07T16:39:53.000-04:00","1","NO"
"362028910","BAAN4998239","1","39800","2025-12-07T16:11:06.000-04:00","2025-12-07T16:11:06.000-04:00","1","NO"
"76237168","CG81","1","40300","2025-12-07T16:04:04.000-04:00","2025-12-07T16:04:04.000-04:00","1","NO"
"130370671","SALDAAGABRIEL89","1","43700","2025-12-07T15:57:25.000-04:00","2025-12-07T15:57:25.000-04:00","1","NO"
"1167380287","RO20250306183415","1","99900","2025-12-07T15:56:17.000-04:00","2025-12-07T15:56:17.000-04:00","1","NO"
"398007633","MEFE1586731","1","44333","2025-12-07T15:50:37.000-04:00","2025-12-07T15:50:37.000-04:00","1","NO"
"1189080093","ESCURRAOSVALDO20220830142746","1","40300","2025-12-07T15:47:14.000-04:00","2025-12-07T15:47:14.000-04:00","1","NO"
"511570033","MONICAEGGS","1","40300","2025-12-07T15:47:02.000-04:00","2025-12-07T15:47:02.000-04:00","1","NO"
"1218376615","DIAZVICTOR20221015185628","1","14900","2025-12-07T15:44:46.000-04:00","2025-12-07T15:44:46.000-04:00","1","NO"
"387208257","SANTIAGOJUÁREZ","1","32999","2025-12-07T15:34:46.000-04:00","2025-12-07T15:34:46.000-04:00","1","NO"
"57981505","MIL_LAPLATA","1","49999","2025-12-07T15:16:04.000-04:00","2025-12-07T15:16:04.000-04:00","1","NO"
"52400834","LAURINES2012","1","65900","2025-12-07T15:07:40.000-04:00","2025-12-07T15:07:40.000-04:00","1","NO"
"66256380","VANINAZACCARDI","1","42500","2025-12-07T15:06:56.000-04:00","2025-12-07T15:06:56.000-04:00","1","NO"
"1149640726","FERNANDEZMARCELA20220626131653","1","24998","2025-12-07T15:03:33.000-04:00","2025-12-07T15:03:33.000-04:00","1","NO"
"158134786","ZAAN883807","1","25900","2025-12-07T14:59:41.000-04:00","2025-12-07T14:59:41.000-04:00","1","NO"
"470556990","ANDRADAANAHI20220527105331","1","42777","2025-12-07T14:56:10.000-04:00","2025-12-07T14:56:10.000-04:00","1","NO"
"3002801903","BG20251119103859","1","49999","2025-12-07T14:49:17.000-04:00","2025-12-07T14:49:17.000-04:00","1","NO"
"277868355","OESTESTAND","1","70500","2025-12-07T14:39:30.000-04:00","2025-12-07T14:39:30.000-04:00","1","NO"
"143369302","LIZROMERODELVALLE","1","29000","2025-12-07T14:36:11.000-04:00","2025-12-07T14:36:11.000-04:00","1","NO"
"4649634","SILVINAKOZAK","1","9900","2025-12-07T14:35:19.000-04:00","2025-12-07T14:35:19.000-04:00","1","NO"
"1363691338","AQUINOMARIO20230429195350","1","26500","2025-12-07T14:33:28.000-04:00","2025-12-07T14:33:28.000-04:00","1","NO"
"804868911","ESTEFOJOSE20210809214945","1","155000","2025-12-07T14:20:33.000-04:00","2025-12-07T14:20:33.000-04:00","1","NO"
"736992488","ELIZABETHDANIELA20220121224033","1","29800","2025-12-07T14:19:59.000-04:00","2025-12-07T14:19:59.000-04:00","1","NO"
"49894914","CGONZALEZ9972","1","65900","2025-12-07T14:15:42.000-04:00","2025-12-07T14:15:42.000-04:00","1","NO"
"34461765","DANIELASODANELLI2010","1","98000","2025-12-07T14:14:10.000-04:00","2025-12-07T14:14:10.000-04:00","1","NO"
"1066035590","NODAHECTOR20220131121205","1","26950","2025-12-07T14:13:10.000-04:00","2025-12-07T14:13:10.000-04:00","1","NO"
"14659459","GORDO COSSIO","1","40300","2025-12-07T14:12:21.000-04:00","2025-12-07T14:12:21.000-04:00","1","NO"
"479883054","GABRIELALEANZACICCHITTI","1","32999","2025-12-07T14:06:52.000-04:00","2025-12-07T14:06:52.000-04:00","1","NO"
"189894255","NICO YOO","1","65900","2025-12-07T14:03:16.000-04:00","2025-12-07T14:03:16.000-04:00","1","NO"
"90633017","JUACO9962","1","280000","2025-12-07T13:53:38.000-04:00","2025-12-07T13:53:38.000-04:00","1","NO"
"536633902","SIIG8521517","1","3958","2025-12-07T13:41:30.000-04:00","2025-12-07T13:41:30.000-04:00","1","NO"
"370819718","ARI_CAMEL","3","87931","2025-12-07T13:36:40.000-04:00","2025-12-07T13:36:43.000-04:00","3","YES"
"81029198","LUVICO_20","1","29000","2025-12-07T13:27:18.000-04:00","2025-12-07T13:27:18.000-04:00","1","NO"
"747155220","GUANTAYDARIO20210421010325","1","65900","2025-12-07T13:23:17.000-04:00","2025-12-07T13:23:17.000-04:00","1","NO"
"24948833","CACONA2003","1","49000","2025-12-07T13:05:38.000-04:00","2025-12-07T13:05:38.000-04:00","1","NO"
"46685421","MARPASCUAL2012","1","49000","2025-12-07T12:58:04.000-04:00","2025-12-07T12:58:04.000-04:00","1","NO"
"176365806","COAI8706243","1","62200","2025-12-07T12:56:47.000-04:00","2025-12-07T12:56:47.000-04:00","1","NO"
"260893202","FERNANDEZJAZMIN20210407123445","1","23000","2025-12-07T12:44:57.000-04:00","2025-12-07T12:44:57.000-04:00","1","NO"
"498710515","PAMFERNANDEZDIZ","1","23000","2025-12-07T12:35:47.000-04:00","2025-12-07T12:35:47.000-04:00","1","NO"
"1570415748","POCHIESPER","1","29000","2025-12-07T12:38:16.000-04:00","2025-12-07T12:38:16.000-04:00","1","NO"
"76921324","VALENTINA862004","1","9900","2025-12-07T12:30:45.000-04:00","2025-12-07T12:30:45.000-04:00","1","NO"
"453317457","BEFH1319097","1","3958","2025-12-07T12:25:48.000-04:00","2025-12-07T12:25:48.000-04:00","1","NO"
"519677879","EMANUELSOLISJOSE1986","1","45600","2025-12-07T12:16:14.000-04:00","2025-12-07T12:16:14.000-04:00","1","NO"
"40119839","CONSU.FO","1","29000","2025-12-07T12:14:39.000-04:00","2025-12-07T12:14:39.000-04:00","1","NO"
"36131525","LUCILAP10","1","23000","2025-12-07T12:11:05.000-04:00","2025-12-07T12:11:05.000-04:00","1","NO"
"158673749","HECTOERIVAROLA","1","29000","2025-12-07T12:07:48.000-04:00","2025-12-07T12:07:48.000-04:00","1","NO"
"255162820","FEEL6732863","1","25900","2025-12-07T12:00:15.000-04:00","2025-12-07T12:00:15.000-04:00","1","NO"
"132005820","RAMOSLUISENRIQUE77","1","99900","2025-12-07T11:55:01.000-04:00","2025-12-07T11:55:01.000-04:00","1","NO"
"645246294","EZEDESERIE","1","40300","2025-12-07T11:51:34.000-04:00","2025-12-07T11:51:34.000-04:00","1","NO"
"148715094","LAINOJUANMANUEL","1","14900","2025-12-07T11:47:29.000-04:00","2025-12-07T11:47:29.000-04:00","1","NO"
"374338256","CRESPODANIELA20210325151523","1","14900","2025-12-07T11:39:13.000-04:00","2025-12-07T11:39:13.000-04:00","1","NO"
"488893221","CESARLESCANO60","1","14900","2025-12-07T11:38:48.000-04:00","2025-12-07T11:38:48.000-04:00","1","NO"
"114840590","BAVELLA","1","14900","2025-12-07T11:32:30.000-04:00","2025-12-07T11:32:30.000-04:00","1","NO"
"131240149","FERRARILETICIA20211021184639","1","14900","2025-12-07T11:30:44.000-04:00","2025-12-07T11:30:44.000-04:00","1","NO"
"132990610","ANDREAFRANCO071","1","32999","2025-12-07T11:30:08.000-04:00","2025-12-07T11:30:08.000-04:00","1","NO"
"242364676","ENZO_EMA18","1","3900","2025-12-07T11:28:20.000-04:00","2025-12-07T11:28:20.000-04:00","1","NO"
"650554581","SELENEGRANDISG","2","44390","2025-11-30T09:54:02.000-04:00","2025-12-07T11:27:08.000-04:00","1","YES"
"486643815","ACEL4376124","1","9900","2025-12-07T11:25:52.000-04:00","2025-12-07T11:25:52.000-04:00","1","NO"
"158480270","POTUSMARTIN","1","14900","2025-12-07T11:25:21.000-04:00","2025-12-07T11:25:21.000-04:00","1","NO"
"699527408","PATINIOTISHOMERO20210110021211","1","14900","2025-12-07T11:22:17.000-04:00","2025-12-07T11:22:17.000-04:00","1","NO"
"144903856","PONCEGISELLE13","1","27900","2025-12-07T11:20:59.000-04:00","2025-12-07T11:20:59.000-04:00","1","NO"
"109365407","MARIAVICTORIAFRANCOS","1","39600","2025-12-07T11:17:07.000-04:00","2025-12-07T11:17:07.000-04:00","1","NO"
"231163724","BAFA6143931","1","49000","2025-12-07T11:08:33.000-04:00","2025-12-07T11:08:33.000-04:00","1","NO"
"205307650","LEJU5430923","1","26950","2025-12-07T11:07:45.000-04:00","2025-12-07T11:07:45.000-04:00","1","NO"
"784731016","DEMARIA20230509193111","1","32999","2025-12-07T11:02:03.000-04:00","2025-12-07T11:02:03.000-04:00","1","NO"
"166038948","PEGE3426111","2","49566","2025-12-07T11:00:53.000-04:00","2025-12-07T11:00:53.000-04:00","2","YES"
"192061448","NATILANDYA7","3","280996","2025-12-07T10:58:02.000-04:00","2025-12-07T10:58:03.000-04:00","2","YES"
"2597032650","GAEBDHFCG13301","1","27000","2025-12-07T10:44:42.000-04:00","2025-12-07T10:44:42.000-04:00","1","NO"
"172069762","ARIEL0840","1","29000","2025-12-07T10:38:47.000-04:00","2025-12-07T10:38:47.000-04:00","1","NO"
"298060410","MARCODKNO2015","1","380000","2025-12-07T10:37:30.000-04:00","2025-12-07T10:37:30.000-04:00","1","NO"
"163351792","DANIELAFERNANDABERON","2","54900","2025-12-07T10:36:54.000-04:00","2025-12-07T10:36:54.000-04:00","2","YES"
"1571134","PLANFRAN","2","128505","2025-11-17T09:13:19.000-04:00","2025-12-07T10:36:29.000-04:00","1","YES"
"48750188","LORE.F.P2011","2","42899","2025-12-07T10:27:48.000-04:00","2025-12-07T10:27:48.000-04:00","2","YES"
"229806490","MARALUCASEORIO","1","29000","2025-12-07T10:26:40.000-04:00","2025-12-07T10:26:40.000-04:00","1","NO"
"80801717","ARTHEMIS75","1","25900","2025-12-07T10:24:19.000-04:00","2025-12-07T10:24:19.000-04:00","1","NO"
"6715773","WALLY2079","1","68900","2025-12-07T10:22:18.000-04:00","2025-12-07T10:22:18.000-04:00","1","NO"
"111115321","GBARANZANO","1","27700","2025-12-07T10:18:24.000-04:00","2025-12-07T10:18:24.000-04:00","1","NO"
"41693598","ENZOLF","1","29000","2025-12-07T10:05:13.000-04:00","2025-12-07T10:05:13.000-04:00","1","NO"
"546618607","EHLERTERICA","1","29500","2025-12-07T10:00:40.000-04:00","2025-12-07T10:00:40.000-04:00","1","NO"
"331316501","SERGIOARIELVILLAR","1","3958","2025-12-07T09:55:16.000-04:00","2025-12-07T09:55:16.000-04:00","1","NO"
"8776024","CHARO2030","1","49000","2025-12-07T09:54:26.000-04:00","2025-12-07T09:54:26.000-04:00","1","NO"
"227719956","MARIANA_BUS24","1","14900","2025-12-07T09:38:22.000-04:00","2025-12-07T09:38:22.000-04:00","1","NO"
"168249451","MARINASMIETH","1","22000","2025-12-07T09:33:22.000-04:00","2025-12-07T09:33:22.000-04:00","1","NO"
"108254771","DIEGOBARRIL","1","116000","2025-12-07T09:25:52.000-04:00","2025-12-07T09:25:52.000-04:00","1","NO"
"76170115","PAU ARANES","1","32999","2025-12-07T09:25:51.000-04:00","2025-12-07T09:25:51.000-04:00","1","NO"
"665114104","ROMANOCLARISAEDITH","1","49000","2025-12-07T09:17:42.000-04:00","2025-12-07T09:17:42.000-04:00","1","NO"
"188079255","COLQUIJAVIER","1","29000","2025-12-07T08:53:55.000-04:00","2025-12-07T08:53:55.000-04:00","1","NO"
"1196322856","TAUZYTHIAGO20220911125454","1","225000","2025-12-07T08:52:07.000-04:00","2025-12-07T08:52:07.000-04:00","1","NO"
"41910289","ARIELAMALFI","1","65900","2025-12-07T08:49:32.000-04:00","2025-12-07T08:49:32.000-04:00","1","NO"
"453543348","MAGDALENAMARIA20211211183605","1","14900","2025-12-07T08:48:50.000-04:00","2025-12-07T08:48:50.000-04:00","1","NO"
"732289112","GONA6895204","1","25900","2025-12-07T08:46:49.000-04:00","2025-12-07T08:46:49.000-04:00","1","NO"
"143999189","ONYA2443362","2","64899","2025-12-07T08:37:38.000-04:00","2025-12-07T08:37:38.000-04:00","2","YES"
"49006033","BAB_DB15","1","51800","2025-12-07T08:37:14.000-04:00","2025-12-07T08:37:14.000-04:00","1","NO"
"301622205","FRANSALDAO","1","49999","2025-12-07T08:21:46.000-04:00","2025-12-07T08:21:46.000-04:00","1","NO"
"98945374","MARIAEMILIAMARTIARENA","1","32999","2025-12-07T08:12:16.000-04:00","2025-12-07T08:12:16.000-04:00","1","NO"
"20491814","JORGELINAFRIGOFRIGO","1","14900","2025-12-07T08:06:30.000-04:00","2025-12-07T08:06:30.000-04:00","1","NO"
"757774670","GOSA8637443","1","108500","2025-12-07T08:04:32.000-04:00","2025-12-07T08:04:32.000-04:00","1","NO"
"784724009","GUTIERREZSILVANA20210702143611","1","39900","2025-12-07T08:01:11.000-04:00","2025-12-07T08:01:11.000-04:00","1","NO"
"594437757","CESARMERELES47","1","22000","2025-12-07T07:14:22.000-04:00","2025-12-07T07:14:22.000-04:00","1","NO"
"104171403","MIKIBUCLES","1","45600","2025-12-07T07:02:00.000-04:00","2025-12-07T07:02:00.000-04:00","1","NO"
"2956819886","J20251030101957","1","49000","2025-12-07T06:58:12.000-04:00","2025-12-07T06:58:12.000-04:00","1","NO"
"233349407","OYAR5898446","1","89500","2025-12-07T06:36:13.000-04:00","2025-12-07T06:36:13.000-04:00","1","NO"
"1815468720","GOFA20240515174414","2","44599","2025-11-06T06:56:53.000-04:00","2025-12-07T05:49:09.000-04:00","2","YES"
"66758049","FER23_GD","1","14900","2025-12-07T03:01:48.000-04:00","2025-12-07T03:01:48.000-04:00","1","NO"
"212480789","MONJAGONZALO","2","7916","2025-12-06T23:31:39.000-04:00","2025-12-07T02:54:36.000-04:00","1","YES"
"577838461","FAMA1008794","1","49000","2025-12-07T01:32:55.000-04:00","2025-12-07T01:32:55.000-04:00","1","NO"
"308556319","JOSELUISPREVETTI","1","280000","2025-12-07T00:35:35.000-04:00","2025-12-07T00:35:35.000-04:00","1","NO"
"99093028","FABIOCDELU","1","49000","2025-12-07T00:18:32.000-04:00","2025-12-07T00:18:32.000-04:00","1","NO"
"1325073490","VERONCINTIA20230307065036","1","25900","2025-12-06T23:29:44.000-04:00","2025-12-06T23:29:44.000-04:00","1","NO"
"309051825","CRISTIANBULLON","1","49000","2025-12-06T23:27:59.000-04:00","2025-12-06T23:27:59.000-04:00","1","NO"
"729331803","BERTRANMURIEL","1","24998","2025-12-06T23:09:37.000-04:00","2025-12-06T23:09:37.000-04:00","1","NO"
"267579071","HELIGENNARO","2","47899","2025-12-06T23:05:09.000-04:00","2025-12-06T23:05:09.000-04:00","2","YES"
"113340603","SEBASBUYATTI","1","280000","2025-12-06T22:51:04.000-04:00","2025-12-06T22:51:04.000-04:00","1","NO"
"102330713","GCRVMP","2","42899","2025-12-06T22:39:13.000-04:00","2025-12-06T22:39:13.000-04:00","2","YES"
"92492806","FACUNDO2006B","1","26500","2025-12-06T22:35:36.000-04:00","2025-12-06T22:35:36.000-04:00","1","NO"
"281596455","RIMI7636654","2","47899","2025-12-06T22:35:20.000-04:00","2025-12-06T22:35:20.000-04:00","2","YES"
"59809253","MARTINJAVIER38","1","26950","2025-12-06T22:25:55.000-04:00","2025-12-06T22:25:55.000-04:00","1","NO"
"155304420","DIAR9739809","2","137805","2025-11-16T13:47:44.000-04:00","2025-12-06T22:14:29.000-04:00","2","YES"
"472979716","JUANMANUELLACOSTE","1","280000","2025-12-06T21:56:16.000-04:00","2025-12-06T21:56:16.000-04:00","1","NO"
"163532717","SERGIORAMONENRIQUEOCAMPO","1","26900","2025-12-06T21:49:52.000-04:00","2025-12-06T21:49:52.000-04:00","1","NO"
"2563971756","FO20250715205420","1","32999","2025-12-06T21:48:34.000-04:00","2025-12-06T21:48:34.000-04:00","1","NO"
"120614966","AGUSTNMARINA","1","23000","2025-12-06T21:40:16.000-04:00","2025-12-06T21:40:16.000-04:00","1","NO"
"1044442881","AA20250120211345","1","3900","2025-12-06T21:39:39.000-04:00","2025-12-06T21:39:39.000-04:00","1","NO"
"660797031","LUJANROCIO20220422141310","1","440000","2025-12-06T21:31:28.000-04:00","2025-12-06T21:31:28.000-04:00","1","NO"
"148905804","192325TEAMO","1","280000","2025-12-06T21:21:57.000-04:00","2025-12-06T21:21:57.000-04:00","1","NO"
"708247114","CAZALROCIO20211105000659","1","22000","2025-12-06T21:17:40.000-04:00","2025-12-06T21:17:40.000-04:00","1","NO"
"493735990","MADA9916833","1","147500","2025-12-06T21:05:51.000-04:00","2025-12-06T21:05:51.000-04:00","1","NO"
"71272661","BARBERISARIEL","1","14900","2025-12-06T20:59:05.000-04:00","2025-12-06T20:59:05.000-04:00","1","NO"
